config,seed,trial,clean_best_so_far
④: Arrhenius mean only,45,7,0.48989068524803253
④: Arrhenius mean only,45,8,0.6057764887475321
④: Arrhenius mean only,45,9,0.6057764887475321
④: Arrhenius mean only,45,10,0.6057764887475321
④: Arrhenius mean only,45,11,0.6057764887475321
④: Arrhenius mean only,45,12,0.6057764887475321
④: Arrhenius mean only,45,13,0.6057764887475321
④: Arrhenius mean only,45,14,0.6057764887475321
④: Arrhenius mean only,45,15,0.6057764887475321
④: Arrhenius mean only,45,16,0.6057764887475321
④: Arrhenius mean only,45,17,0.6057764887475321
④: Arrhenius mean only,45,18,0.6057764887475321
④: Arrhenius mean only,45,19,0.6057764887475321
④: Arrhenius mean only,45,20,0.6057764887475321
④: Arrhenius mean only,45,21,0.6057764887475321
④: Arrhenius mean only,46,1,0.38764724215179136
④: Arrhenius mean only,46,2,0.38764724215179136
④: Arrhenius mean only,46,3,0.4345708455086277
④: Arrhenius mean only,46,4,0.48320003916499693
④: Arrhenius mean only,46,5,0.48320003916499693
④: Arrhenius mean only,46,6,0.48320003916499693
④: Arrhenius mean only,46,7,0.5991578934504614
④: Arrhenius mean only,46,8,0.5991578934504614
④: Arrhenius mean only,46,9,0.5991578934504614
④: Arrhenius mean only,46,10,0.6060556475277452
④: Arrhenius mean only,46,11,0.6060556475277452
④: Arrhenius mean only,46,12,0.6060556475277452
④: Arrhenius mean only,46,13,0.6060556475277452
④: Arrhenius mean only,46,14,0.6060556475277452
④: Arrhenius mean only,46,15,0.6060556475277452
④: Arrhenius mean only,46,16,0.6014251944658138
④: Arrhenius mean only,46,17,0.6014251944658138
④: Arrhenius mean only,46,18,0.6014251944658138
④: Arrhenius mean only,46,19,0.6014251944658138
④: Arrhenius mean only,46,20,0.6014251944658138
④: Arrhenius mean only,46,21,0.6014251944658138
⑤: mono + gp_prior (rescued),42,1,0.30064198627220906
⑤: mono + gp_prior (rescued),42,2,0.5151725753891216
⑤: mono + gp_prior (rescued),42,3,0.5075260754860572
⑤: mono + gp_prior (rescued),42,4,0.5075260754860572
⑤: mono + gp_prior (rescued),42,5,0.5075260754860572
⑤: mono + gp_prior (rescued),42,6,0.5075260754860572
⑤: mono + gp_prior (rescued),42,7,0.5075260754860572
⑤: mono + gp_prior (rescued),42,8,0.5075260754860572
⑤: mono + gp_prior (rescued),42,9,0.5260622964402558
⑤: mono + gp_prior (rescued),42,10,0.550053904631848
⑤: mono + gp_prior (rescued),42,11,0.592173324639583
⑤: mono + gp_prior (rescued),42,12,0.592173324639583
⑤: mono + gp_prior (rescued),42,13,0.592173324639583
⑤: mono + gp_prior (rescued),42,14,0.6052371198239058
⑤: mono + gp_prior (rescued),42,15,0.6052371198239058
⑤: mono + gp_prior (rescued),42,16,0.6052371198239058
⑤: mono + gp_prior (rescued),42,17,0.6052371198239058
⑤: mono + gp_prior (rescued),42,18,0.6052371198239058
⑤: mono + gp_prior (rescued),42,19,0.6052371198239058
⑤: mono + gp_prior (rescued),42,20,0.6052371198239058
⑤: mono + gp_prior (rescued),42,21,0.6052371198239058
⑤: mono + gp_prior (rescued),43,1,0.09216088394989201
⑤: mono + gp_prior (rescued),43,2,0.10228478812081578
⑤: mono + gp_prior (rescued),43,3,0.4469449783346927
⑤: mono + gp_prior (rescued),43,4,0.4469449783346927
⑤: mono + gp_prior (rescued),43,5,0.4469449783346927
⑤: mono + gp_prior (rescued),43,6,0.5663419037277398
⑤: mono + gp_prior (rescued),43,7,0.5663419037277398
⑤: mono + gp_prior (rescued),43,8,0.5663419037277398
⑤: mono + gp_prior (rescued),43,9,0.5663419037277398
⑤: mono + gp_prior (rescued),43,10,0.5740477839038214
⑤: mono + gp_prior (rescued),43,11,0.5990637996563075
⑤: mono + gp_prior (rescued),43,12,0.5990637996563075
⑤: mono + gp_prior (rescued),43,13,0.5990637996563075
